ID,latitude,longitude,Ocean,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Date2,depth,Average_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
unitless,degrees_north,degrees_east,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,m,percent,Degrees Celsius,Kelvin,Degree Celsius,Degree Celsius,Degree Celsius,Kelvin,meters per hour,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,SSTA per time period,SSTA per time period,SSTA per time period,SSTA per time period,Weeks,Weeks,Weeks,Weeks,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,TSA per time period,TSA per time period,TSA per time period,TSA per time period,Weeks,Weeks,Weeks,Weeks
97,-20.89983333,149.4077222,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,20160326,4,6.25,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52
98,-20.89305556,149.421,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,20160326,5,8.75,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52
116,-20.74580556,149.4720556,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,20160327,6,11.25,298.17,301.38,298.34,292.67,303.76,2.57,5,0.87,0.82,0,-2.701111111,2.6,10,5.67,27,5,2.68,3.14,18.95,1.97,-0.03,2.57,-8.73,2.34,-3.06,1,1.47,5,1,1.51,1.23,7.32,0.49
117,-20.73769444,149.4649444,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,20160327,5,25,298.21,301.56,298.37,292.01,304.04,2.52,5,1.07,0.81,0,-2.803333333,3.44,8,5.27,25,5,3.65,2.89,18.05,1.86,0.17,2.52,-9.38,2.64,-3.01,2,1.31,5,1,2.36,0.97,6.86,0.36
142,-20.25936111,148.8145833,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Mount Rooper,Daydream Island,,8/6/2017,20170806,2,1,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56
145,-20.25255556,148.8129167,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Mount Rooper,Daydream Island,,8/6/2017,20170806,2,33.75,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56
155,-20.06580556,148.9481111,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Whitsundays,Hook Island,Luncheon Bay,4/23/2016,20160423,7,9.25,298.77,299.31,298.68,293.39,304.04,2.43,7,0.56,2.42,0,-3.60875,5.48,24,3.47,30,20,38.18,13.17,45.45,11.76,0.49,2.43,-5.42,5.21,-0.13,24,3.52,30,19,35.64,12.31,42.81,10.92
158,-20.039,148.8758333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Whitsundays,Hayman Island,,4/23/2016,20160423,4,40,296.79,299.88,298.69,292.94,304.3,2.48,7,0.43,0.88,0,-3.38,3.29,14,6.08,29,6,7.37,3.33,21.97,2.18,-1.75,2.48,-8.68,2.66,-2.93,4,2.01,8,1,4.83,1.6,10.99,0.61
166,-19.81777778,149.0658056,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bait Reef,,,5/28/2016,20160528,5,9.5,295.74,299.34,298.72,292.92,304.14,2.23,5,1.73,0.77,0,-3.623333333,3.8,8,5.14,24,4,6.27,2.77,18.72,1.59,-2.1,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34
167,-19.81777778,149.0658056,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bait Reef,,,8/7/2017,20170807,5,11.75,296.83,296.51,298.72,292.92,304.14,2.23,4,0.98,0.77,0,-3.623333333,3.8,11,5.14,24,4,1.28,2.77,18.72,1.59,-4.93,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34
168,-19.81311111,149.0657222,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bait Reef,,,8/7/2017,20170807,2,1.25,296.83,296.51,298.72,292.92,304.14,2.23,4,0.98,0.77,0,-3.623333333,3.8,11,5.14,24,4,1.28,2.77,18.72,1.59,-4.93,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34
169,-19.80755556,149.0627222,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bait Reef,,,5/28/2016,20160528,4,4.75,295.74,299.34,298.72,292.92,304.14,2.23,5,1.73,0.77,0,-3.623333333,3.8,8,5.14,24,4,6.27,2.77,18.72,1.59,-2.1,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34
172,-19.74577778,149.1659444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Barb Reef,,,5/29/2016,20160529,5,32.5,298.51,298.76,298.59,293.64,303.52,2.24,5,0.06,2.23,0,-3.125555556,5.05,21,3.12,26,19,18.3,12.28,41.46,10.65,0.03,2.24,-5.08,4.78,-0.13,20,3.37,26,18,16.5,11.35,38.9,9.8
173,-19.74577778,149.1659444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Barb Reef,,,8/5/2017,20170805,5,0,298.59,296.16,298.59,293.64,303.52,2.24,5,-2.3,2.23,0,-3.125555556,5.05,24,3.12,26,19,0,12.28,41.46,10.65,-2.57,2.24,-5.08,4.78,-0.13,24,3.37,26,18,0,11.35,38.9,9.8
174,-19.74555556,149.1658333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Barb Reef,,,5/29/2016,20160529,5,17.25,298.51,298.76,298.59,293.64,303.52,2.24,5,0.06,2.23,0,-3.125555556,5.05,21,3.12,26,19,18.3,12.28,41.46,10.65,0.03,2.24,-5.08,4.78,-0.13,20,3.37,26,18,16.5,11.35,38.9,9.8
175,-19.74555556,149.1658333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Barb Reef,,,8/5/2017,20170805,5,1.25,298.59,296.16,298.59,293.64,303.52,2.24,5,-2.3,2.23,0,-3.125555556,5.05,24,3.12,26,19,0,12.28,41.46,10.65,-2.57,2.24,-5.08,4.78,-0.13,24,3.37,26,18,0,11.35,38.9,9.8
183,-19.29,-158.9583333,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Manuae,,,,9/8/2005,20050908,10,0,298.72,298.79,299.67,296.01,304.19,1.31,8,0.44,0.83,0,-3.66,3.22,1,4.8,27,5,0,2.84,18.88,1.78,-2.38,1.31,-5.15,3.01,-1.49,0,1.71,10,1,0,1.32,14.15,0.41
184,-19.26833333,-158.975,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Manuae,,,,9/8/2005,20050908,10,0,298.74,298.91,299.69,295.67,303.92,1.31,8,0.53,0.82,0,-3.332222222,2.94,1,4.54,25,5,0,2.62,18.08,1.7,-2.27,1.31,-5.5,2.74,-1.48,0,1.62,7,1,0,1.25,12.05,0.43
185,-19.19833333,146.8151667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Townsville,Middle Reef,,6/25/2016,20160625,3,57.5,295.29,296.98,299.21,292.58,306.14,2.94,4,1.71,1.02,0,-3.278333333,3.59,18,5.96,30,7,14.39,3.91,23.3,2.93,-5.62,2.94,-10.01,3.53,-3.38,4,2.04,9,1,0,2.12,17.68,0.7
186,-19.19833333,146.8151667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Townsville,Middle Reef,,3/18/2017,20170318,3,1,298.7,303.57,299.21,292.58,306.14,2.94,3,1.94,1.02,0,-3.278333333,3.59,28,5.96,30,7,17.39,3.91,23.3,2.93,0.97,2.94,-10.01,3.53,-3.38,6,2.04,9,1,14.02,2.12,17.68,0.7
187,-19.19805556,146.815,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Townsville,Middle Reef,,3/18/2017,20170318,5,1,298.7,303.57,299.21,292.58,306.14,2.94,3,1.94,1.02,0,-3.278333333,3.59,28,5.96,30,7,17.39,3.91,23.3,2.93,0.97,2.94,-10.01,3.53,-3.38,6,2.04,9,1,14.02,2.12,17.68,0.7
189,-19.17066667,146.8485,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Nelly Bay,,7/7/2017,20170707,5,0,295.84,296.47,299.09,292.57,306.11,2.92,5,1.62,1.02,0,-3.32,3.72,18,5.73,32,8,3.7,3.68,19.04,3.14,-6,2.92,-9.89,3.63,-3.37,4,2.17,11,2,0,1.87,15.84,0.71
190,-19.16944444,146.8472222,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Nelly Bay,,10/15/2017,20171015,2,0.5,301.47,300.76,299.09,292.57,306.11,2.92,5,1.59,1.02,0,-3.32,3.72,22,5.73,32,8,15.59,3.68,19.04,3.14,-1.71,2.92,-9.89,3.63,-3.37,4,2.17,11,2,0,1.87,15.84,0.71
193,-19.16916667,146.8469444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Nelly Bay,,4/10/2016,20160410,5,4.75,297.02,300.69,299.09,292.57,306.11,2.92,5,0.34,1.02,0,-3.32,3.72,13,5.73,32,8,3.27,3.68,19.04,3.14,-1.78,2.92,-9.89,3.63,-3.37,1,2.17,11,2,1.6,1.87,15.84,0.71
194,-19.16916667,146.8469444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Nelly Bay,,6/9/2017,20170609,4,3.5,294.83,296.25,299.09,292.57,306.11,2.92,5,0.29,1.02,0,-3.32,3.72,19,5.73,32,8,5.73,3.68,19.04,3.14,-6.22,2.92,-9.89,3.63,-3.37,4,2.17,11,2,1.8,1.87,15.84,0.71
198,-19.15430556,146.8660556,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,Geoffrey Bay,6/26/2016,20160626,1,20,295.18,296.98,299.07,292.2,305.77,2.88,4,1.64,0.98,0,-3.3325,3.34,17,5.32,29,7,14.07,3.32,19.92,2.78,-5.51,2.88,-10.28,3.27,-3.41,1,1.46,6,1,0,1.49,10.49,0.62
199,-19.15430556,146.8660556,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,Geoffrey Bay,3/19/2017,20170319,3,6,298.66,304.27,299.07,292.2,305.77,2.88,3,2.78,0.98,0,-3.3325,3.34,29,5.32,29,7,10.24,3.32,19.92,2.78,1.78,2.88,-10.28,3.27,-3.41,5,1.46,6,1,8.71,1.49,10.49,0.62
201,-19.14833333,146.8702778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,,4/9/2016,20160409,3,4.5,297.14,300.69,299.07,292.2,305.77,2.88,5,0.39,0.98,0,-3.3325,3.34,14,5.32,29,7,5.89,3.32,19.92,2.78,-1.8,2.88,-10.28,3.27,-3.41,1,1.46,6,1,1.58,1.49,10.49,0.62
202,-19.14833333,146.8702778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,,4/9/2016,20160409,6,8.25,297.14,300.69,299.07,292.2,305.77,2.88,5,0.39,0.98,0,-3.3325,3.34,14,5.32,29,7,5.89,3.32,19.92,2.78,-1.8,2.88,-10.28,3.27,-3.41,1,1.46,6,1,1.58,1.49,10.49,0.62
203,-19.14833333,146.8702778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,,6/9/2017,20170609,4,2,294.89,295.33,299.07,292.2,305.77,2.88,5,-0.78,0.98,0,-3.3325,3.34,22,5.32,29,7,3.84,3.32,19.92,2.78,-7.16,2.88,-10.28,3.27,-3.41,6,1.46,6,1,1.78,1.49,10.49,0.62
204,-19.14833333,146.8702778,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Arcadia,,6/9/2017,20170609,4,2.25,294.89,295.33,299.07,292.2,305.77,2.88,5,-0.78,0.98,0,-3.3325,3.34,22,5.32,29,7,3.84,3.32,19.92,2.78,-7.16,2.88,-10.28,3.27,-3.41,6,1.46,6,1,1.78,1.49,10.49,0.62
206,-19.12269444,146.8813611,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Florence Bay,,3/19/2017,20170319,3,6.25,298.66,304.27,299.07,292.2,305.77,2.88,3,2.78,0.98,0,-3.3325,3.34,29,5.32,29,7,10.24,3.32,19.92,2.78,1.78,2.88,-10.28,3.27,-3.41,5,1.46,6,1,8.71,1.49,10.49,0.62
207,-19.12188889,146.8808333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Magnetic Island,Florence Bay,,6/26/2016,20160626,3,5,295.18,296.98,299.07,292.2,305.77,2.88,4,1.64,0.98,0,-3.3325,3.34,17,5.32,29,7,14.07,3.32,19.92,2.78,-5.51,2.88,-10.28,3.27,-3.41,1,1.46,6,1,0,1.49,10.49,0.62
209,-18.95605556,146.95625,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,,,,10/12/2016,20161012,3,17.5,299.09,299.77,299.05,293.35,304.85,2.58,5,0.7,2.58,0,-3.82,5.83,23,3.03,27,20,0,13.92,48.5,12.61,0.68,2.58,-5.73,5.75,-0.03,23,3.1,27,20,0,13.67,47.72,12.35
210,-18.91966667,-159.8466667,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,Maina,,8/26/2005,20050826,10,0.375,298.72,299.29,299.86,296.41,303.63,1.26,8,0.77,0.84,0,-3.683333333,3.07,2,4.18,26,5,0,2.62,18.08,1.72,-1.91,1.26,-4.78,2.42,-1.33,0,2.07,11,1,0,1.52,15.93,0.49
211,-18.88666667,-159.825,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/25/2005,20050825,3,3.5,298.72,299.38,299.88,295.82,304.05,1.26,8,0.84,0.84,0,-3.661111111,3.17,3,4.73,27,5,0,2.76,15.27,1.76,-1.84,1.26,-5.4,2.82,-1.33,0,2.07,9,1,0,1.48,10.29,0.53
212,-18.88666667,-159.825,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/25/2005,20050825,10,0.75,298.72,299.38,299.88,295.82,304.05,1.26,8,0.84,0.84,0,-3.661111111,3.17,3,4.73,27,5,0,2.76,15.27,1.76,-1.84,1.26,-5.4,2.82,-1.33,0,2.07,9,1,0,1.48,10.29,0.53
213,-18.855,-159.8083333,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/23/2005,20050823,3,0.25,298.61,298.8,299.87,295.82,303.92,1.29,7,0.29,0.86,0,-3.665555556,3.13,4,4.52,27,5,0,2.82,18.35,1.81,-2.42,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
214,-18.855,-159.8083333,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/23/2005,20050823,10,0,298.61,298.8,299.87,295.82,303.92,1.29,7,0.29,0.86,0,-3.665555556,3.13,4,4.52,27,5,0,2.82,18.35,1.81,-2.42,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
215,-18.85333333,-159.805,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/24/2005,20050824,10,4,298.68,299.6,299.87,295.82,303.92,1.29,8,1.1,0.86,0,-3.665555556,3.13,4,4.52,27,5,0,2.82,18.35,1.81,-1.63,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
216,-18.85261111,-159.8061667,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/2/2005,20050902,3,0.75,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
217,-18.85261111,-159.8061667,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/2/2005,20050902,12,0.25,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
218,-18.84333333,-159.8025,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/31/2005,20050831,3,17,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
219,-18.84333333,-159.8025,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/31/2005,20050831,10,0,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
220,-18.83833333,-159.7995,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/3/2005,20050903,3,1.25,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
221,-18.83833333,-159.7995,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/3/2005,20050903,12,0.025,298.78,299.07,299.87,295.82,303.92,1.29,6,0.56,0.86,0,-3.665555556,3.13,5,4.52,27,5,1.1,2.82,18.35,1.81,-2.15,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
