ID,latitude,longitude,Ocean,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Date2,depth,Average_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
222,-18.835,-159.795,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/25/2005,20050825,3,3.5,298.68,299.6,299.87,295.82,303.92,1.29,8,1.1,0.86,0,-3.665555556,3.13,4,4.52,27,5,0,2.82,18.35,1.81,-1.63,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
223,-18.835,-159.795,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/25/2005,20050825,10,5,298.68,299.6,299.87,295.82,303.92,1.29,8,1.1,0.86,0,-3.665555556,3.13,4,4.52,27,5,0,2.82,18.35,1.81,-1.63,1.29,-5.4,2.69,-1.35,0,2.44,12,1,0,1.82,16.77,0.64
224,-18.8265,-159.7866667,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/1/2005,20050901,10,0.5,298.81,299.53,299.91,295.85,304.42,1.28,6,0.99,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.76,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
225,-18.82,-159.78,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/24/2005,20050824,4,0,298.72,299.47,299.91,295.85,304.42,1.28,8,0.94,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.82,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
226,-18.82,-159.78,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/24/2005,20050824,10,1,298.72,299.47,299.91,295.85,304.42,1.28,8,0.94,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.82,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
227,-18.79791667,147.5206389,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/8/2017,20170708,8,0.5,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
228,-18.79744444,147.5199722,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/9/2017,20170709,5,0,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
229,-18.79602778,147.5213333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/9/2017,20170709,2,0,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
230,-18.79491667,147.5211667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/8/2017,20170708,4,2.25,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
233,-18.68716667,147.0968333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Lodestone Reef,,7/7/2017,20170707,4,0,296.51,297.16,299.19,293.47,304.75,2.2,6,0.77,0.82,0,-3.183333333,2.86,21,6.09,32,6,0,3.07,16.81,2.01,-4.77,2.2,-8.46,2.81,-2.73,7,1.44,7,1,0,1.32,11.14,0.46
270,-17.65686111,177.1081667,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,15,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
271,-17.65677778,177.10825,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,3.5,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
272,-17.65677778,177.10825,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,10.5,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
282,-17.498,-149.7561667,Pacific,Eastern Indo-Pacific,"Society Islands, French Polynesia",French Polynesia,Society Islands,Moorea,Tema'e,,11/18/2017,20171118,2,0,262.15,300.534,300.742,297.326,304.634,1.1,6,-0.014,0.614,0,-2.506,2.79,3.6,2.586,12.8,2,0,1.494,10.944,0.728,-1.46,1.1,-4.666,2.634,-1.242,1.2,1.01,4.2,0,0,0.73,5.25,0.23
283,-17.48486111,-149.8398611,Pacific,Eastern Indo-Pacific,"Society Islands, French Polynesia",French Polynesia,Society Islands,Moorea,Piha'ena,,11/18/2017,20171118,2,0,301.52,299.98,300.77,297.54,304.85,1.11,6,-0.51,0.64,0,-2.907142857,3.1,2,2.77,12,2,0,1.83,13.9,0.92,-2.1,1.11,-4.53,2.76,-1.3,1,1.52,6,0,0,1.12,9.78,0.3
303,-16.93225,145.9865278,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Fitzroy Island,,,10/29/2017,20171029,1,16.25,301.74,300.79,299.47,293.89,304.85,2.36,6,0.97,0.87,0,-3.334444444,2.97,14,5.64,31,6,5.19,3.03,19.96,2.11,-1.64,2.36,-8.53,2.41,-2.95,4,1.23,4,1,0,0.99,5.23,0.39
304,-16.91405556,177.3854167,Pacific,Central Indo-Pacific,Fiji,Fiji,Yasawa Islands,Nacula Island,Sisili,,11/15/2009,20091115,3.5,1,301.33,299.8,300.48,296.23,304.54,1.45,5,-0.63,0.82,0,-3.265,3.83,3,4.83,21,5,0,2.52,13.25,1.78,-2.25,1.45,-5.81,2.49,-1.56,0,1.52,8,1,0,1.06,8.9,0.41
309,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,4/17/2016,20160417,3,72.5,298.15,300.8,299.59,294.85,305.79,2.09,7,0.64,0.85,0,-3.345555556,4.23,10,6.09,31,6,12.86,3.16,17.6,2.11,-1.5,2.09,-7.44,3.49,-2.7,3,1.66,8,1,4.56,1.2,8.44,0.42
310,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,10/30/2016,20161030,3,10,301.53,299.75,299.59,294.85,305.79,2.09,7,0.08,0.85,0,-3.345555556,4.23,27,6.09,31,6,6.91,3.16,17.6,2.11,-2.55,2.09,-7.44,3.49,-2.7,3,1.66,8,1,0,1.2,8.44,0.42
311,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,10/30/2016,20161030,7,8.75,301.53,299.75,299.59,294.85,305.79,2.09,7,0.08,0.85,0,-3.345555556,4.23,27,6.09,31,6,6.91,3.16,17.6,2.11,-2.55,2.09,-7.44,3.49,-2.7,3,1.66,8,1,0,1.2,8.44,0.42
312,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,4/1/2017,20170401,3,95.5,298.73,302.29,299.59,294.85,305.79,2.09,9,1.44,0.85,0,-3.345555556,4.23,27,6.09,31,6,6.11,3.16,17.6,2.11,-0.01,2.09,-7.44,3.49,-2.7,3,1.66,8,1,3.57,1.2,8.44,0.42
313,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,4/1/2017,20170401,7,91,298.73,302.29,299.59,294.85,305.79,2.09,9,1.44,0.85,0,-3.345555556,4.23,27,6.09,31,6,6.11,3.16,17.6,2.11,-0.01,2.09,-7.44,3.49,-2.7,3,1.66,8,1,3.57,1.2,8.44,0.42
314,-16.8725,146.2044444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Moore Reef,,,10/28/2017,20171028,3,3.5,301.53,300.93,299.59,294.85,305.79,2.09,6,1.36,0.85,0,-3.345555556,4.23,12,6.09,31,6,3.28,3.16,17.6,2.11,-1.37,2.09,-7.44,3.49,-2.7,3,1.66,8,1,0,1.2,8.44,0.42
364,-16.73183333,146.2663333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Flynn Reef,,,4/17/2009,20090417,5,0,298.66,301.14,299.62,293.79,305.41,1.94,6,0.91,0.83,0,-3.44,3.38,4,5.27,27,5,2.33,2.88,18.6,1.84,-0.93,1.94,-8.27,3.33,-2.44,1,1.36,5,1,1.26,1.22,7.42,0.47
376,-16.56666667,145.9833333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Breaking Patches,,,10/29/2016,20161029,4,4,301.42,299.91,299.58,293.94,305.09,2.07,7,0.24,0.86,0,-4.1,3.57,24,5.31,28,5,5.43,3.05,18.89,2,-2.33,2.07,-8.3,2.84,-2.65,4,1.39,5,1,0,1.19,9.73,0.46
380,-16.51916667,146.0055556,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Hastings Reef,,,4/17/2016,20160417,4,58.75,298.16,300.91,299.57,295.1,306.69,2.02,7,0.79,0.84,0,-3.895555556,5.19,8,5.04,27,5,12.74,2.81,17.18,1.94,-1.3,2.02,-7.1,4.48,-2.63,5,1.36,6,1,5.51,1.17,9.78,0.43
382,-16.5125,146.0011111,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Hastings Reef,,,4/2/2017,20170402,5,75.75,298.73,301.66,299.57,295.1,306.69,2.02,8,0.85,0.84,0,-3.895555556,5.19,23,5.04,27,5,5.7,2.81,17.18,1.94,-0.55,2.02,-7.1,4.48,-2.63,3,1.36,6,1,5.17,1.17,9.78,0.43
388,-16.42083333,145.9956944,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Norman Reef,,,4/17/2016,20160417,5,60,298.34,301.16,299.63,294.73,305.7,1.97,7,0.92,0.85,0,-3.64,4.17,9,6.11,32,5,13.12,3.17,20.23,1.97,-0.99,1.97,-7.41,3.54,-2.51,4,1.46,6,1,4.95,1.25,7.36,0.46
389,-16.42083333,145.9956944,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Norman Reef,,,4/2/2017,20170402,5,77.5,298.9,302.14,299.63,294.73,305.7,1.97,9,1.25,0.85,0,-3.64,4.17,29,6.11,32,5,8.92,3.17,20.23,1.97,-0.01,1.97,-7.41,3.54,-2.51,4,1.46,6,1,7.03,1.25,7.36,0.46
396,-16.37716667,145.558,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Low Isles,,,5/1/2017,20170501,4,65,296.86,299.28,299.51,294.01,305.39,2.44,6,-0.12,0.88,0,-3.042222222,3.45,23,5.27,24,6,7.25,2.98,17.76,2.25,-3.24,2.44,-8.51,2.86,-3,3,1.5,7,1,2.46,1.2,7.33,0.45
397,-16.37716667,145.558,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Low Isles,,,5/1/2017,20170501,4,35,296.86,299.28,299.51,294.01,305.39,2.44,6,-0.12,0.88,0,-3.042222222,3.45,23,5.27,24,6,7.25,2.98,17.76,2.25,-3.24,2.44,-8.51,2.86,-3,3,1.5,7,1,2.46,1.2,7.33,0.45
402,-16.25,145.8333333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Opal Reef,,,4/30/2016,20160430,7,52.5,297.55,301.07,299.58,294.69,306.54,2.11,5,1.6,0.87,0,-3.305555556,4.98,8,5.78,30,6,15.02,3.39,19.78,2.19,-1.19,2.11,-7.57,4.26,-2.68,5,1.52,8,1,7.53,1.37,10.85,0.53
404,-16.24194444,145.8619444,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Opal Reef,,,4/30/2017,20170430,5,42.75,297.67,299.17,299.6,294.11,306.36,2.07,7,-0.43,0.88,0,-3.622222222,4.82,23,5.63,26,6,7.43,3.31,18.81,2.17,-3.09,2.07,-8.14,4.09,-2.65,3,1.53,6,1,2.46,1.44,10.14,0.56
406,-16.24166667,145.864,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Opal Reef,,,4/30/2016,20160430,7,56.25,297.67,300.33,299.6,294.11,306.36,2.07,5,0.82,0.88,0,-3.622222222,4.82,8,5.63,26,6,13.9,3.31,18.81,2.17,-1.93,2.07,-8.14,4.09,-2.65,5,1.53,6,1,7.19,1.44,10.14,0.56
407,-16.24166667,145.864,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Opal Reef,,,4/30/2017,20170430,5,31,297.67,299.17,299.6,294.11,306.36,2.07,7,-0.43,0.88,0,-3.622222222,4.82,23,5.63,26,6,7.43,3.31,18.81,2.17,-3.09,2.07,-8.14,4.09,-2.65,3,1.53,6,1,2.46,1.44,10.14,0.56
410,-16.23086111,145.8675556,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Opal Reef,,,4/30/2017,20170430,4,35.25,297.67,299.17,299.6,294.11,306.36,2.07,7,-0.43,0.88,0,-3.622222222,4.82,23,5.63,26,6,7.43,3.31,18.81,2.17,-3.09,2.07,-8.14,4.09,-2.65,3,1.53,6,1,2.46,1.44,10.14,0.56
417,-16,145.9666667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,,,,10/30/2016,20161030,4,1.5,301.47,299.5,299.73,294.54,305.86,1.9,7,-0.2,0.87,0,-3.146666667,4.42,25,6.32,29,5,6.41,3.28,16.8,2.01,-2.64,1.9,-7.59,3.72,-2.4,5,1.55,5,1,0,1.37,8.44,0.51
460,-13.31711111,48.15416667,Indian,Western Indo-Pacific,North Madagascar,Madagascar,Antsiranana Province,Nosy Be,Nosy Sakatia,,12/9/2007,20071209,11.5,0,302.29,300.96,301.31,297.33,305.48,1.54,2,-0.95,0.69,0,-2.86875,3.12,3,3.29,16,3,0,1.87,10.68,1.1,-2.06,1.54,-5.69,2.46,-1.7,0,1.46,6,1,0,0.92,6.44,0.31
485,-12.13647222,96.922,Indian,Central Indo-Pacific,"Cocos Keeling Atolls, Indian Ocean",Australia,Cocos (Keeling) Islands,Home Island,,,2/9/2007,20070209,10,0,301.45,301.86,300.35,296.55,305.44,1.11,7,0.57,0.81,0,-3.046666667,4.06,0,5.09,21,5,0,2.91,21.37,1.73,0.41,1.11,-4.9,3.99,-1.09,0,2.48,10,1,0,1.78,18.64,0.56
497,-28.16252778,153.5311111,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,Gold Coast,Coolangatta,,4/19/2016,20160419,4,0,295.64,298.19,296.26,291.42,301.77,2.2,3,0.38,0.76,0,-2.788333333,2.98,15,4.22,18,4,9.42,2.18,12.48,1.49,-0.99,2.2,-7.75,2.58,-2.91,3,1.35,6,1,4.05,1.07,8.01,0.34
501,-27.93972222,153.4208333,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,Gold Coast,Wave Break Island,,2/5/2017,20170205,3,0,296.06,299.08,296.01,291.39,301.63,2.18,7,2.99,2.18,0,-3.851666667,5.54,17,3.63,27,19,6.76,12.31,44.35,10.61,2.97,2.18,-4.71,5.51,-0.09,16,3.44,24,18,6.5,12.02,43.76,10.09
502,-27.93972222,153.4208333,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,Gold Coast,Wave Break Island,,12/9/2017,20171209,2,0,296.06,298.1,296.01,291.39,301.63,2.18,6,2.13,2.18,0,-3.851666667,5.54,14,3.63,27,19,1.54,12.31,44.35,10.61,1.99,2.18,-4.71,5.51,-0.09,13,3.44,24,18,1.39,12.02,43.76,10.09
503,-27.93688889,153.4256111,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,Gold Coast,Wave Break Island,,2/5/2017,20170205,4,0,296.06,299.08,296.01,291.39,301.63,2.18,7,2.99,2.18,0,-3.851666667,5.54,17,3.63,27,19,6.76,12.31,44.35,10.61,2.97,2.18,-4.71,5.51,-0.09,16,3.44,24,18,6.5,12.02,43.76,10.09
504,-27.93688889,153.4256111,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,Gold Coast,Wave Break Island,,12/9/2017,20171209,9,0,296.06,298.1,296.01,291.39,301.63,2.18,6,2.13,2.18,0,-3.851666667,5.54,14,3.63,27,19,1.54,12.31,44.35,10.61,1.99,2.18,-4.71,5.51,-0.09,13,3.44,24,18,1.39,12.02,43.76,10.09
507,-27.56888889,153.3519444,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,MacLeay Island,,,2/14/2016,20160214,1,0.25,297.8,297.46,295.98,290.85,304.01,2.67,7,-1.86,1.09,0,-3.393333333,4.61,21,7.21,30,8,0,5.86,36.68,3.57,-1.93,2.67,-8.53,4.61,-3.39,0,2.58,10,2,0,2.51,17.89,0.86
508,-27.56888889,153.3519444,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,MacLeay Island,,,3/11/2017,20170311,2,25,296.09,297.01,295.98,290.85,304.01,2.67,6,-1.67,1.09,0,-3.393333333,4.61,23,7.21,30,8,0,5.86,36.68,3.57,-2.38,2.67,-8.53,4.61,-3.39,0,2.58,10,2,0,2.51,17.89,0.86
509,-27.56888889,153.3519444,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,MacLeay Island,,,11/17/2017,20171117,2,2,299.04,297.04,295.98,290.85,304.01,2.67,7,-0.13,1.09,0,-3.393333333,4.61,11,7.21,30,8,5.37,5.86,36.68,3.57,-2.35,2.67,-8.53,4.61,-3.39,0,2.58,10,2,0,2.51,17.89,0.86
515,-27.51769444,153.3846111,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,North Stradbroke Island,Goat Island,,11/19/2016,20161119,1,6.25,299.42,296.56,296.1,290.84,304.48,2.77,6,-0.85,1.06,0,-3.098333333,4.77,21,6.84,32,7,2.11,6.2,43.1,3.34,-3.16,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76
516,-27.51769444,153.3846111,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,North Stradbroke Island,Goat Island,,11/17/2017,20171117,3,3,299.42,297.04,296.1,290.84,304.48,2.77,7,-0.26,1.06,0,-3.098333333,4.77,8,6.84,32,7,6.07,6.2,43.1,3.34,-2.68,2.77,-8.88,4.75,-3.61,3,2.45,9,1,0,2.27,16.09,0.76
517,-27.51655556,153.3828611,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,North Stradbroke Island,Goat Island,,4/28/2016,20160428,1,35.75,293.47,297.33,296.1,290.84,304.48,2.77,3,1.32,1.06,0,-3.098333333,4.77,22,6.84,32,7,3.33,6.2,43.1,3.34,-2.38,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76
518,-27.51655556,153.3828611,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,North Stradbroke Island,Goat Island,,11/21/2016,20161121,1,10,299.42,296.56,296.1,290.84,304.48,2.77,6,-0.85,1.06,0,-3.098333333,4.77,21,6.84,32,7,2.11,6.2,43.1,3.34,-3.16,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76
519,-27.51655556,153.3828611,Pacific,Temperate Australasia,"Moreton Bay, eastern Australia",Australia,Queensland,North Stradbroke Island,Goat Island,,11/27/2017,20171127,1,11.25,299.57,297.32,296.1,290.84,304.48,2.77,6,-0.37,1.06,0,-3.098333333,4.77,8,6.84,32,7,6.07,6.2,43.1,3.34,-2.39,2.77,-8.88,4.75,-3.61,3,2.45,9,1,0,2.27,16.09,0.76
